,label,author,comment,id,channel,title
0,0,evimeey,Penonton setiaa mana suaranyaa,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
1,0,AfganMRiyadh,lovyou kak❤,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
2,0,lullabyraa,kak pebbi review energen beng beng dong,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
3,0,NeilaNeilanur,Kakak itu  enam❤❤❤❤,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
4,0,vickyzulf,Ketinggalan seminggu nontonnyaa... btw kak pebbi cantik bgttt,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
5,0,EvaAimadewi,Modal konten kak pebby per episode ini wow sekali yaa kaka... Mehong2 haha😅,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
6,0,ameliaindrianti2409,Kangen review makanan rating buruk di shopee,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
7,0,AnissaEY-b1s,"Bikin Hacks lagi duunnggggsss.. 
Mozarella di lelehin + susu bubuk",hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
8,0,blueskyvc.8,❤❤❤,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
9,0,dinimutia9289,"Kak saran karna reviewnya makanan
Mungkin kameranya ada yg khusus nyorot makanannya lbh deket dan rada lama
Jadi tau tekstur , warnanya ky gimana . Jujur pas mau liat udh berubah anglenya jadi mengurangi nilai videonya 😅",hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
10,0,Hilwa-x2f,tag kak gerozzzzzzzzzz,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
11,0,dewipangestu6299,"Chikuro dulu udah viral pada jamannya, trs smpet reup sampe strn yangdi alam sutra udah ga ada, untungnya sekarang hype lg, buka lagi dong di alam sutra @chikuro",hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
12,0,alifiasrynti4152,"Kak makanan viral tiktok yg pudding jelly, snack gandum sama nougat itu dong kak",hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
13,0,NurulHikmah-jz7ry,Kk pebbi laen kali tolong kasih linkny tmpat bliny,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
14,0,nadiyaramadhani2204,kaa cobain pisang ijoo virall,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
15,0,DaniAbdulgani-r1j,Kangen bngt nontonin kak pebbyyy❤❤,hUGHkGzfWi8,Pebbi Lieyanti,"BELI SEMUA MAKANAN VIRAL TIKTOK, PART 27!"
